Armscode,Mcode,Description
280022340000,9043166,ACADEMY BACKPACK BLA
280022340001,4056205786078,ACADEMY BACKPACK BLA - BLACK - N/A
280249550000,9045311,PUMAUNISEXQUARTERPLAIN1P
280249550001,904531100102,PUMAUNISEXQUARTERPLAIN1P - N/A - 26
280020200000,9050983,UNISEX SNEAKER PLAIN 3P APAC
280020200001,8713537760966,UNISEX SNEAKER PLAIN 3P APAC - N/A - 24
280020200002,8713537760973,UNISEX SNEAKER PLAIN 3P APAC - N/A - 26
280020200003,8713537761086,UNISEX SNEAKER PLAIN 3P APAC - N/A - 24
280020200004,8713537761093,UNISEX SNEAKER PLAIN 3P APAC - N/A - 26
280020250000,9037994,ORIGINAL STRETCHFIT PUMA
280020250001,4056206840229,ORIGINAL STRETCHFIT PUMA - N/A - S-M
280020250002,4056206840199,ORIGINAL STRETCHFIT PUMA - N/A - L-XL
280000010000,9042279,RBR NEW BLOCK SNAPBACK TOTAL E
280000010001,4056207749217,RBR NEW BLOCK SNAPBACK TOTAL E
280020970000,9054186,X FIRST MILE BACKPACK
280020970001,4062449828795,X FIRST MILE BACKPACK - BLACK - N/A
280021040000,9065307,ARCHIVE MID FIT BEANIE
280021040001,4064533036550,ARCHIVE MID FIT BEANIE - BLACK - N/A
280021080000,9057648,ARCHIVE BUCKET HAT
280021080001,4063697988408,ARCHIVE BUCKET HAT - BLACK - S/M
280021080002,4063697988415,ARCHIVE BUCKET HAT - BLACK - L/XL
280021130000,9059173,CORE REVERSIBLE BUCKET
280021130001,4064533033863,CORE REVERSIBLE BUCKET - BLKGY - S-M
280021130002,4064533033870,CORE REVERSIBLE BUCKET - BLKGY - L-XL
280021220000,9062116,PRIME BUCKET HAT PUMA BLACK-DENIM
280021220001,4064536408798,PRIME BUCKET HAT PUMA BLACK-DENIM - BLAC
280021220002,4064536408781,PRIME BUCKET HAT PUMA BLACK-DENIM - BLAC
280021280000,9061679,PUMA X NJR FISHERMAN (SW)
280021280001,4064535255669,PUMA X NJR FISHERMAN (SW) - BLACK - MISC
280021290000,9061680,PUMA X NJR FISHERMAN (SW)
280021290001,4064535255676,PUMA X NJR FISHERMAN (SW) - YELOW - MISC
280021350000,9067414,SEASONS BUCKET HAT
280021350001,4065452956431,SEASONS BUCKET HAT - BLACK - N/A
280296770000,,PUMA ESS METAL PUMA CAT BB CAP
280296770001,4067983508127,PUMA ESS METAL PUMA CAT BB CAP - BLACK -
280344240000,,ESS METAL PUMA CAT BB CAP
280344510000,4067983508240,ESS METAL PUMA CAT BB CAP - PINK - MISC
280344250000,,ESS METAL PUMA CAT BB CAP
280344520000,4069157711012,ESS METAL PUMA CAT BB CAP - BEIGE - MISC
280289960000,,ESS NO.1 LOGO BB CAP JR
280289960001,4067983509070,PUMA ESS NO.1 LOGO BB CAP JR - PINK - OS
280344530000,4067983509063,ESS NO.1 LOGO BB CAP JR - PINK - OSFY
280344260000,,UNISEX RUNNING III BB CAP
